theme,quote_id,text,length
"dance, heaven, hurt, inspirational, life, love, sing",1,"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",149
"friend, friendship, knowledge, love",2,A friend is someone who knows all about you and still loves you.,64
"darkness, drive-out, hate, inspirational, light, love, peace",3,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,110
"inspirational, love",4,We accept the love we think we deserve.,39
"life, love",5,It is better to be hated for what you are than to be loved for what you are not.,80
love,6,"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",81
"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",7,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",222
"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",8,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",80
"do-wrong, love, trust, wrong",9,"Love all, trust a few, do wrong to none.",40
love,10,Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,183
"courage, deeply-loved, love, strength, widely-misattributed",11,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",96
love,12,"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",126
"essential, happiness, love",13,Love is that condition in which the happiness of another person is essential to your own.,89
"katniss, love, peeta, suzanne-collins, the-hunger-games",14,"You love me. Real or not real?""I tell him, ""Real.",49
love,15,"Love looks not with the eyes, but with the mind,And therefore is winged Cupid painted blind.",92
"love, simile",16,"Love is like the wind, you can't see it but you can feel it.",60
"imperfect, love",17,"You don't love someone because they're perfect, you love them in spite of the fact that they're not.",100
"love, weirdness",18,"We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.",212
"death, love",19,"Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",222
"friendship, love",20,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",134
"friendship, love",21,If I had a flower for every time I thought of you...I could walk through my garden forever.,91
"desire, emotion, friendship, honesty, imagination, individuality, life, love, passion, reality, relationships, romance, truth, wisdom, wise-words",22,"When someone loves you, the way they talk about you is different. You feel safe and comfortable.",96
"dumbledore, life, love, snape",23,"Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.""After all this time?""""Always,"" said Snape.",163
"adventure, love",24,To die will be an awfully big adventure.,40
"humor, love, romantic, women",25,"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",105
"love, marriage",26,"So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.",203
"life, love",27,"Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.",108
"love, paraphrase-of-congreve",28,"Tis better to have loved and lost, Than never to have loved at all.",67
"love, poetry",29,"I love you as certain dark things are to be loved, in secret, between the shadow and the soul.",94
"life, love",30,"The one you love and the one who loves you are never, ever the same person.",75
